"AD","D","h","SC","T","Core","BC","CC","lambda1","mu2"
"Add",0.012,0,0.013,195398361977.04,0.003,0.748,0,0.003,0.651,0.386
"Del",0.111,0.492,0.105,154096285680.827,0.004,0.345,0.001,0.031,3.577,1.818
"AddDel",0.09,0.212,0.085,148682792075.331,0.001,0.621,0.001,0.023,2.925,1.309
"Switch",0.049,0.05,0.045,121323898621.889,0.001,0.472,0,0.016,1.46,1.009
