"AD","D","h","SC","T","Core","BC","CC","lambda1","mu2"
"Add",0.041,0.327,0.041,17.642,0.009,0.503,0.005,0.009,0.299,0.154
"Del",0.226,0.735,0.23,21.626,0.006,0.164,0.01,0.106,0.743,0.5
"AddDel",0.149,0.412,0.131,14.327,0.006,0.451,0.009,0.076,0.421,0.419
"Switch",0.1,0.312,0.073,4.509,0.005,0.313,0.007,0.042,0.118,0.27
