"AD","D","h","SC","T","Core","BC","CC","lambda1","mu2"
"Add",0.14,0,0.127,219.05,0.001,0.519,0,0.015,1.245,0.666
"Del",0.183,0.715,0.171,43.801,0.001,0.813,0.001,0.02,1.226,0.49
"AddDel",0,0.177,0,0.802,0,0.222,0.001,0.007,0.012,0.087
"Switch",0,0.042,0,0.324,0,0.182,0,0.006,0.005,0.071
