"AD","D","h","SC","T","Core","BC","CC","lambda1","mu2"
"Add",0.18,0.788,0.106,15.057,0.006,0.22,0.027,0.043,0.431,0.309
"Del",0.139,0.242,0.153,11.716,0.022,0.348,0.02,0.07,0.617,0.197
"AddDel",0.039,0.173,0.006,5.928,0.017,0.355,0.031,0.04,0.235,0.065
"Switch",0.094,0.504,0.032,3.694,0.029,0.258,0.03,0.042,0.106,0.189
