"AD","D","h","SC","T","Core","BC","CC","lambda1","mu2"
"Add",0.101,0.004,0.085,238.347,0.008,0.894,0.003,0.021,1.015,0.816
"Del",0.135,0.696,0.122,59.563,0.01,0.303,0.005,0.045,0.993,0.182
"AddDel",0.001,0.054,0.001,5.996,0.002,0.587,0.005,0.021,0.05,0.602
"Switch",0.002,0.127,0.004,0.951,0.001,0.558,0.004,0.018,0.008,0.334
