"AD","T","BC","CC","DC","lambda1"
"Add",0.174,0.011,0.001,0.165,0.003,1.097
"Del",0.057,0.028,0.001,0.15,0.005,9.061
"AddDel",0.116,0.039,0.001,0.118,0.004,7.809
"Switch",0.162,0.046,0.001,0.099,0.003,6.145
